# Index  MassFlow  u       p
0   0.4472  4.4721  -0.0000
1   0.4472  4.4721  -0.0000
2   0.4472  4.4721  -0.0000
3   0.4472  4.4721  -0.0000
4   0.4472  4.4721   0.0000
5   0.4472  4.4721   0.0000
6   0.4472  4.4721   0.0001
7   0.4472  4.4721   0.0001
8   0.4472  4.4721   0.0001
9   0.4472  4.4721   0.0001
10  0.4472  4.4721   0.0001
11  0.4472  4.4721   0.0001
12  0.4472  4.4721   0.0001
13  0.4472  4.4721   0.0001
14  0.4472  4.4721   0.0001
15  0.4472  4.4721   0.0001
16  0.4472  4.4721   0.0001
17  0.4472  4.4721   0.0000
18  0.4472  4.4721   0.0000
19  0.4472  4.4721   0.0000
